M,MC-I_median_rel_err,MC-I_q25_rel_err,MC-I_q75_rel_err,MC-II_median_rel_err,MC-II_q25_rel_err,MC-II_q75_rel_err
10,0.026712110079699973,0.01358856231718358,0.03961110987572125,0.013513491654663885,0.0025595356889161333,0.01753943646931735
20,0.013742946005190968,0.009198695060166288,0.02116639194085104,0.009441108653294897,0.006947970927371503,0.013567364217877294
40,0.013580579554881574,0.007817049201293311,0.01807850656089923,0.0036256945425692643,0.0026640064087167037,0.005260906196152619
80,0.007186283148804684,0.002788785707350317,0.01271037475704634,0.0034871337667676935,0.001822741635812799,0.005777567623460537
160,0.006221820278273217,0.0025998901403026034,0.008530098063284362,0.0024003986535148,0.0008715108578730962,0.004268727298497652
320,0.004066423030901824,0.0012829613525730992,0.007845410500163236,0.0014278058246643326,0.0008624676956900223,0.002630222687399655
640,0.0018649701956517536,0.0007061578809128001,0.0036124021786106356,0.0013963702156649907,0.0005860885586169056,0.002131095655545907
1280,0.0018476096223294662,0.0012084389075107782,0.0028211200701341354,0.0010143259354654503,0.0007014898468403959,0.0013369033110236755
2560,0.0006858847439420809,0.0003833991399015309,0.0017990588257037435,0.0007117475245048912,0.0004879202273511517,0.0011686792287499102
5120,0.0009788133325374425,0.0005059799021915931,0.0019642878616624275,0.0003181956216709651,0.00019557988722441338,0.0006002502492163881
10240,0.0008851820588024817,0.0003364716625087446,0.001403468565238528,0.00022390891831856354,0.00010433552103673852,0.0004524764688271264
