alpha,a,rho_star,expected_exp_slope,M,type,weighted_integral_error,derivative_error
1.5,0.05,1.4378509575220022,-0.7262992165082307,2,Type-I,6.44847167590157,2.22790923705561
1.5,0.05,1.4378509575220022,-0.7262992165082307,2,Type-II,0.2553627619754535,0.1323395103830406
1.5,0.05,1.4378509575220022,-0.7262992165082307,3,Type-I,4.585520111893181,1.5842703709422377
1.5,0.05,1.4378509575220022,-0.7262992165082307,3,Type-II,0.12920088485104997,0.0669572247338362
1.5,0.05,1.4378509575220022,-0.7262992165082307,4,Type-I,3.02445775632056,1.0449324601319556
1.5,0.05,1.4378509575220022,-0.7262992165082307,4,Type-II,0.06518063582319611,0.033779292503604
1.5,0.05,1.4378509575220022,-0.7262992165082307,5,Type-I,1.8796172490011536,0.649396762775305
1.5,0.05,1.4378509575220022,-0.7262992165082307,5,Type-II,0.032603114352549145,0.01689627789502599
1.5,0.05,1.4378509575220022,-0.7262992165082307,6,Type-I,1.116663131955299,0.38580057902089376
1.5,0.05,1.4378509575220022,-0.7262992165082307,6,Type-II,0.01617591885028924,0.008383027987647037
1.5,0.05,1.4378509575220022,-0.7262992165082307,7,Type-I,0.6414386317108196,0.22161329450098682
1.5,0.05,1.4378509575220022,-0.7262992165082307,7,Type-II,0.007974638933714084,0.004132786643616818
1.5,0.05,1.4378509575220022,-0.7262992165082307,8,Type-I,0.35927459396592276,0.12412727026891589
1.5,0.05,1.4378509575220022,-0.7262992165082307,8,Type-II,0.003913149965967921,0.0020279556288688087
1.5,0.05,1.4378509575220022,-0.7262992165082307,9,Type-I,0.19740773027795555,0.06820321587144906
1.5,0.05,1.4378509575220022,-0.7262992165082307,9,Type-II,0.001913781699926842,0.0009918005710350464
1.5,0.05,1.4378509575220022,-0.7262992165082307,10,Type-I,0.10686673184147644,0.03692183062435219
1.5,0.05,1.4378509575220022,-0.7262992165082307,10,Type-II,0.0009337335092125532,0.0004838991968974147
1.5,0.05,1.4378509575220022,-0.7262992165082307,11,Type-I,0.057175149910857925,0.01975367978934796
1.5,0.05,1.4378509575220022,-0.7262992165082307,11,Type-II,0.00045478487066952233,0.0002356882681265969
1.5,0.05,1.4378509575220022,-0.7262992165082307,12,Type-I,0.03029972273064807,0.010468376934042546
