alpha,M,type,empirical_rms,exact_rms_formula,mean_abs_error
1.25,64,Type-I,0.12991645065196855,0.12033136228390671,0.10485030186244214
1.25,64,Type-II,0.019249225969283267,0.01763580664909376,0.0156419997536997
1.25,128,Type-I,0.08199332978774594,0.08508712226036559,0.06551554271287492
1.25,128,Type-II,0.012056613168687398,0.012470398473268998,0.00965008940031523
1.25,256,Type-I,0.061767415852444406,0.06016568114195336,0.0495327702895706
1.25,256,Type-II,0.009048739202728317,0.00881790332454688,0.007340533424799028
1.25,512,Type-I,0.042332864595692674,0.042543561130182796,0.03464905915204931
1.25,512,Type-II,0.006154701680331459,0.006235199236634499,0.005018652624972486
1.25,1024,Type-I,0.028613116479085123,0.03008284057097668,0.02291016454832596
1.25,1024,Type-II,0.004137720106518917,0.00440895166227344,0.0032769015828701263
1.25,2048,Type-I,0.02247771838041515,0.021271780565091398,0.017709063585176228
1.25,2048,Type-II,0.0032807290611909664,0.0031175996183172494,0.002598687238858035
1.25,4096,Type-I,0.015259568824223678,0.01504142028548834,0.011801487258688459
1.25,4096,Type-II,0.00219825230631244,0.00220447583113672,0.001715797722713755
1.25,8192,Type-I,0.01107138760772756,0.010635890282545699,0.008963109196703048
1.25,8192,Type-II,0.0016127892978801308,0.0015587998091586247,0.0013181601941728751
1.25,16384,Type-I,0.007555438614396157,0.00752071014274417,0.005964862703697937
1.25,16384,Type-II,0.0010837529016984454,0.00110223791556836,0.0008491148394342455
1.5,64,Type-I,0.1898652095397707,0.192958278100499,0.15268801923679579
1.5,64,Type-II,0.035033842348828226,0.035092551699390365,0.027528919021497303
1.5,128,Type-I,0.14109816745142428,0.13644210693094252,0.11287255055865812
1.5,128,Type-II,0.025312978271062284,0.02481418127577843,0.02023443146707111
1.5,256,Type-I,0.09408582729145851,0.0964791390502495,0.076638404499964
1.5,256,Type-II,0.017004709006818945,0.017546275849695182,0.01382573100209157
1.5,512,Type-I,0.06546439922081689,0.06822105346547126,0.05287042912641469
1.5,512,Type-II,0.011916531755428979,0.012407090637889214,0.009598476451460135
1.5,1024,Type-I,0.04686156292876416,0.04823956952512475,0.036441909540756164
1.5,1024,Type-II,0.0086421865246214,0.008773137924847591,0.006770779706702454
1.5,2048,Type-I,0.0348415299017323,0.03411052673273563,0.027844303054683026
1.5,2048,Type-II,0.00644474380818103,0.006203545318944607,0.005182566302351394
1.5,4096,Type-I,0.02420381033694532,0.024119784762562376,0.019279087730096314
1.5,4096,Type-II,0.004391070872133309,0.004386568962423796,0.0035130106223578775
1.5,8192,Type-I,0.016998304285407956,0.017055263366367816,0.013545752621704488
1.5,8192,Type-II,0.0031101541634807823,0.0031017726594723036,0.0024862945815550797
1.5,16384,Type-I,0.012471756522871918,0.012059892381281188,0.010023917428271559
1.5,16384,Type-II,0.0022330477218220827,0.002193284481211898,0.0017833750128949382
1.75,64,Type-I,0.2008307057500338,0.1905947466225338,0.15920128748179954
1.75,64,Type-II,0.04325541707492428,0.04212685948863495,0.034983683573263084
1.75,128,Type-I,0.134462541373005,0.13477083779532548,0.10656064636529566
1.75,128,Type-II,0.029473751272197073,0.029788188014506622,0.02321684747606961
1.75,256,Type-I,0.0979596509580832,0.0952973733112669,0.07892474057394631
1.75,256,Type-II,0.021452965410012025,0.021063429744317474,0.017372123341652303
1.75,512,Type-I,0.06934679060957645,0.06738541889766274,0.055651019113417764
1.75,512,Type-II,0.01546260000347102,0.014894094007253311,0.012568854367583301
1.75,1024,Type-I,0.04553464689936942,0.04764868665563345,0.03583618646613765
1.75,1024,Type-II,0.010015249108985925,0.010531714872158737,0.007957519442972837
1.75,2048,Type-I,0.035086595628356074,0.03369270944883137,0.028147631564483053
1.75,2048,Type-II,0.00774256048782623,0.0074470470036266554,0.006260724732246761
1.75,4096,Type-I,0.022742721079590477,0.023824343327816726,0.018238439402308893
1.75,4096,Type-II,0.004943236527519751,0.0052658574360793685,0.00392410734256863
1.75,8192,Type-I,0.016737477937004485,0.016846354724415685,0.013620047786273149
1.75,8192,Type-II,0.0036915768475626227,0.0037235235018133277,0.003003078767526833
1.75,16384,Type-I,0.011274038560088103,0.011912171663908363,0.009293920262159415
1.75,16384,Type-II,0.002525726992788198,0.0026329287180396842,0.0020705245308938855
