M,precision,method,rel_error,tau_min
8,fp64,GJ-I,1.1765807329343146e-15,0.009027377025647099
8,fp64,GJ-II,1.862919493812665e-14,0.009027377025647099
8,fp32,GJ-I,3.2977633646360126e-08,0.009027377025647099
8,fp32,GJ-II,3.232903001998811e-06,0.009027377025647099
8,fp16,GJ-I,0.0005015618738747557,0.009027377025647099
8,fp16,GJ-II,0.025815733761627102,0.009027377025647099
8,fp8-e5m2,GJ-I,0.10067043746906816,0.009027377025647099
8,fp8-e5m2,GJ-II,5.448949983459617,0.009027377025647099
8,fp8-e4m3,GJ-I,0.04410802173457026,0.009027377025647099
8,fp8-e4m3,GJ-II,1000000.0,0.009027377025647099
12,fp64,GJ-I,2.1570646770462436e-15,0.004103285523211264
12,fp64,GJ-II,1.6550568976609358e-13,0.004103285523211264
12,fp32,GJ-I,4.536382836651648e-07,0.004103285523211264
12,fp32,GJ-II,0.00010908257291025488,0.004103285523211264
12,fp16,GJ-I,0.0011097375356155716,0.004103285523211264
12,fp16,GJ-II,0.22243131308542047,0.004103285523211264
12,fp8-e5m2,GJ-I,0.09058577259288574,0.004103285523211264
12,fp8-e5m2,GJ-II,10.502563688917164,0.004103285523211264
12,fp8-e4m3,GJ-I,0.07027627438704219,0.004103285523211264
12,fp8-e4m3,GJ-II,1000000.0,0.004103285523211264
16,fp64,GJ-I,7.84387155289543e-16,0.0023336305641982746
16,fp64,GJ-II,6.149595297470018e-13,0.0023336305641982746
16,fp32,GJ-I,3.2967931149833094e-07,0.0023336305641982746
16,fp32,GJ-II,0.00012246277332368462,0.0023336305641982746
16,fp16,GJ-I,0.002287950988079393,0.0023336305641982746
16,fp16,GJ-II,1.0449475650394975,0.0023336305641982746
16,fp8-e5m2,GJ-I,0.014381696628739067,0.0023336305641982746
16,fp8-e5m2,GJ-II,11.034948710408012,0.0023336305641982746
16,fp8-e4m3,GJ-I,0.04100859763965182,0.0023336305641982746
16,fp8-e4m3,GJ-II,1000000.0,0.0023336305641982746
24,fp64,GJ-I,4.118032565270101e-15,0.0010484754715845979
24,fp64,GJ-II,2.353161465868629e-13,0.0010484754715845979
24,fp32,GJ-I,3.902655640180061e-07,0.0010484754715845979
24,fp32,GJ-II,0.0002637100297997413,0.0010484754715845979
24,fp16,GJ-I,0.0003841564040570354,0.0010484754715845979
24,fp16,GJ-II,0.6739712700150433,0.0010484754715845979
24,fp8-e5m2,GJ-I,0.052342170877794636,0.0010484754715845979
24,fp8-e5m2,GJ-II,1000000.0,0.0010484754715845979
24,fp8-e4m3,GJ-I,0.03134725924717482,0.0010484754715845979
24,fp8-e4m3,GJ-II,1000000.0,0.0010484754715845979
32,fp64,GJ-I,9.216549074652131e-15,0.0005929367527944263
32,fp64,GJ-II,1.8917457217695554e-12,0.0005929367527944263
32,fp32,GJ-I,4.6685823006379334e-08,0.0005929367527944263
32,fp32,GJ-II,0.00019154138115454314,0.0005929367527944263
32,fp16,GJ-I,0.002522699262622999,0.0005929367527944263
32,fp16,GJ-II,5.1411383938309845,0.0005929367527944263
32,fp8-e5m2,GJ-I,0.06255621850674714,0.0005929367527944263
32,fp8-e5m2,GJ-II,1000000.0,0.0005929367527944263
32,fp8-e4m3,GJ-I,1000000.0,0.0005929367527944263
32,fp8-e4m3,GJ-II,1000000.0,0.0005929367527944263
48,fp64,GJ-I,1.764871099401472e-14,0.00026493242289910013
48,fp64,GJ-II,9.22635391409325e-13,0.00026493242289910013
48,fp32,GJ-I,4.208331587170932e-08,0.00026493242289910013
48,fp32,GJ-II,0.0008664041156715644,0.00026493242289910013
48,fp16,GJ-I,0.008158019707497648,0.00026493242289910013
48,fp16,GJ-II,29.297304331016257,0.00026493242289910013
48,fp8-e5m2,GJ-I,0.052697103069527976,0.00026493242289910013
48,fp8-e5m2,GJ-II,1000000.0,0.00026493242289910013
48,fp8-e4m3,GJ-I,1000000.0,0.00026493242289910013
48,fp8-e4m3,GJ-II,1000000.0,0.00026493242289910013
64,fp64,GJ-I,2.1962840348107207e-14,0.00014941881627972275
64,fp64,GJ-II,4.458064397088118e-12,0.00014941881627972275
64,fp32,GJ-I,1.2907355823937923e-06,0.00014941881627972275
64,fp32,GJ-II,0.006523719846448353,0.00014941881627972275
64,fp16,GJ-I,0.007445344630897742,0.00014941881627972275
64,fp16,GJ-II,38.35238966202557,0.00014941881627972275
64,fp8-e5m2,GJ-I,0.047276892554435866,0.00014941881627972275
64,fp8-e5m2,GJ-II,1000000.0,0.00014941881627972275
64,fp8-e4m3,GJ-I,1000000.0,0.00014941881627972275
64,fp8-e4m3,GJ-II,1000000.0,0.00014941881627972275
96,fp64,GJ-I,1.5491646316968476e-14,6.658336153653188e-05
96,fp64,GJ-II,1.2051559570015127e-10,6.658336153653188e-05
96,fp32,GJ-I,7.866169856020177e-07,6.658336153653188e-05
96,fp32,GJ-II,0.017312030206545863,6.658336153653188e-05
96,fp16,GJ-I,0.0037031835441548124,6.658336153653188e-05
96,fp16,GJ-II,1000000.0,6.658336153653188e-05
96,fp8-e5m2,GJ-I,0.052870657258885415,6.658336153653188e-05
96,fp8-e5m2,GJ-II,1000000.0,6.658336153653188e-05
96,fp8-e4m3,GJ-I,1000000.0,6.658336153653188e-05
96,fp8-e4m3,GJ-II,1000000.0,6.658336153653188e-05
128,fp64,GJ-I,4.2553003174457714e-14,3.750230277904665e-05
128,fp64,GJ-II,2.057074924425709e-10,3.750230277904665e-05
128,fp32,GJ-I,1.1112782973441666e-06,3.750230277904665e-05
128,fp32,GJ-II,0.03735064263054226,3.750230277904665e-05
128,fp16,GJ-I,6.069341782265676e-05,3.750230277904665e-05
128,fp16,GJ-II,1000000.0,3.750230277904665e-05
128,fp8-e5m2,GJ-I,0.04535292744506414,3.750230277904665e-05
128,fp8-e5m2,GJ-II,1000000.0,3.750230277904665e-05
128,fp8-e4m3,GJ-I,1000000.0,3.750230277904665e-05
128,fp8-e4m3,GJ-II,1000000.0,3.750230277904665e-05
192,fp64,GJ-I,5.863293985789335e-14,1.6689522651991417e-05
192,fp64,GJ-II,4.517713118312111e-10,1.6689522651991417e-05
192,fp32,GJ-I,5.679552174352954e-06,1.6689522651991417e-05
192,fp32,GJ-II,0.30971613834140027,1.6689522651991417e-05
192,fp16,GJ-I,0.003906927604421212,1.6689522651991417e-05
192,fp16,GJ-II,1000000.0,1.6689522651991417e-05
192,fp8-e5m2,GJ-I,0.05381843470439229,1.6689522651991417e-05
192,fp8-e5m2,GJ-II,1000000.0,1.6689522651991417e-05
192,fp8-e4m3,GJ-I,1000000.0,1.6689522651991417e-05
192,fp8-e4m3,GJ-II,1000000.0,1.6689522651991417e-05
256,fp64,GJ-I,1.1216736320640467e-13,9.393993196382677e-06
256,fp64,GJ-II,2.4529472778287887e-10,9.393993196382677e-06
256,fp32,GJ-I,8.56678261687353e-06,9.393993196382677e-06
256,fp32,GJ-II,0.8441081788256392,9.393993196382677e-06
256,fp16,GJ-I,0.005157798307715643,9.393993196382677e-06
256,fp16,GJ-II,1000000.0,9.393993196382677e-06
256,fp8-e5m2,GJ-I,0.05123461869486329,9.393993196382677e-06
256,fp8-e5m2,GJ-II,1000000.0,9.393993196382677e-06
256,fp8-e4m3,GJ-I,1000000.0,9.393993196382677e-06
256,fp8-e4m3,GJ-II,1000000.0,9.393993196382677e-06
384,fp64,GJ-I,1.4536654955403456e-12,4.17783440215258e-06
384,fp64,GJ-II,3.1981758653583894e-10,4.17783440215258e-06
384,fp32,GJ-I,5.64231591086177e-07,4.17783440215258e-06
