alpha,delta,A_alpha,B_alpha,C_alpha
1.25,1e-10,1682.5480854231355,6746192341691.742,1441.6126446484018
1.25,1.0877514737307278e-10,1647.453340599585,6072906837571.186,1411.5314347996443
1.25,1.1832032686033702e-10,1613.0888691224488,5466816774537.791,1382.0761735335275
1.25,1.2870310991463354e-10,1579.4394750083045,4921215893099.44,1353.2338357214037
1.25,1.3999699748337049e-10,1546.4902784812386,4430067233878.021,1324.9916672696331
1.25,1.5228194033041324e-10,1514.2267093929947,3987936339919.291,1297.3371794797097
1.25,1.6564490501698245e-10,1482.634500780051,3589931125565.9937,1270.258143525758
1.25,1.8018048954820907e-10,1451.6996825547692,3231647746555.6484,1243.742585046945
1.25,1.9599159304358843e-10,1421.408575327805,2909121872406.8496,1217.7787788524042
1.25,2.1319014417199638e-10,1391.7477843590852,2618784821933.6167,1192.355243736359
1.25,2.318978935079554e-10,1362.704193634645,2357424076536.1597,1167.4607374011243
1.25,2.522472754183309e-10,1334.2649600667194,2122147734356.004,1143.0842514857593
1.25,2.7438234558085025e-10,1306.4175078145308,1910352511988.2043,1119.2150066981692
1.25,2.984598007712637e-10,1279.1495227232397,1719694939696.1294,1095.8424480484912
1.25,3.246500881383228e-10,1252.448946878622,1548065431410.1292,1072.956240181676
1.25,3.5313861181927136e-10,1226.3039732750613,1393564942599.9304,1050.5462628071953
1.25,3.8412704543763584e-10,1200.7030405944754,1254483957744.9585,1028.6026062238361
1.25,4.178347597746186e-10,1175.6348280939044,1129283574903.5024,1007.1155669376324
1.25,4.5450037572076605e-10,1151.0882505994703,1016578478085.3245,986.0756433709746
1.25,4.943834535014348e-10,1127.0524536045089,915121609020.6283,965.4735316610075
1.25,5.377663301342724e-10,1103.5168084697054,823790368721.7451,945.3001215454617
1.25,5.8495611812632e-10,1080.470907723101,741574196160.6371,925.5464923340866
1.25,6.362868795597129e-10,1057.904560457906,667563386622.9851,906.2039089639194
1.25,6.921219909566037e-10,1035.807787826081,600939026016.2347,887.2638181366409
1.25,7.528567156644912e-10,1014.1708186256793,540963929756.8113,868.7178445362966
1.25,8.189210019721259e-10,992.9840849800217,486974485977.2537,850.557787125733
1.25,8.907825267642241e-10,972.2382181067766,438373312800.0117,832.7756155200942
1.25,9.689500062613704e-10,951.9240441750794,394622648432.19775,815.3634664357824
1.25,1.0539767972822035e-09,932.0325802488646,355238400944.0895,798.3136402133125
1.25,1.1464648145217095e-09,912.5550303146024,319784791893.39435,781.6185974125164
1.25,1.24706879157642e-09,893.4827813917003,287869534528.1467,765.2709554786003
1.25,1.3565009158808488e-09,874.8073997238424,259139493216.03595,749.2634854775791
1.25,1.4755358703664754e-09,856.5206270495736,233276776072.65405,733.5891088996344
1.25,1.6050163175336858e-09,838.6143769504964,209995217554.44128,718.2408945289969
1.25,1.7458588647591325e-09,821.0807312754528,189037212096.9339,703.2120553789595
1.25,1.8990605530676097e-09,803.9119366391129,170170863763.195,688.4959456906682
1.25,2.065705915303183e-09,787.1004009934295,153187420363.88824,674.0860579943682
1.25,2.2469746536653196e-09,770.638690270425,137898963658.05847,659.9760202317929
1.25,2.4441499909600534e-09,754.5195250948465,124136330077.1921,646.1595929384399
1.25,2.658627754685743e-09,738.7357775652255,111747238965.79521,632.630666484479
1.25,2.8919262582608328e-09,723.2804681019123,100594607627.85916,619.3832583730676
1.25,3.1456970493438103e-09,708.1467623607058,90555034535.56885,606.4115105948906
1.25,3.421736601334132e-09,693.3279682107031,81517433917.26553,593.7096870377455
1.25,3.721999030819589e-09,678.8175327750358,73381806616.67014,581.2721709500307
1.25,4.048609930998349e-09,664.6090395331879,66058133623.18341,569.0934624570182
1.25,4.403881419004314e-09,650.6962054836034,59465380030.402176,557.168176128803
