alpha,eta1,delta_star_type_I,eta0,delta_star_type_II
1.25,1e-09,3.783199873004124e-08,1e-14,9.734854014400609e-07
1.25,3e-09,1.1341876002681016e-07,3e-14,1.6920354970598232e-06
1.25,1e-08,3.7861056698115624e-07,1e-13,3.0796131498784086e-06
1.25,3e-08,1.135058746075494e-06,3e-13,5.3527405332408775e-06
1.25,1e-07,3.7890136985008383e-06,1e-12,9.742331152449215e-06
1.25,3e-07,1.1359305609917865e-05,3e-12,1.693335114185662e-05
1.25,1e-06,3.7919239607862144e-05,1e-11,3.0819785364187594e-05
1.5,1e-09,3.901189671042785e-08,1e-14,9.296570653439104e-07
1.5,3e-09,1.1695604513956638e-07,3e-14,1.6158565422012783e-06
1.5,1e-08,3.90418609334979e-07,1e-13,2.9409625651040253e-06
1.5,3e-08,1.1704587663512182e-06,3e-13,5.1117490291265725e-06
1.5,1e-07,3.877300934524956e-06,1e-12,9.303711155192037e-06
1.5,3e-07,1.171357771283728e-05,3e-12,1.6047293677437865e-05
1.5,1e-06,3.880279008392375e-05,1e-11,2.943221457026034e-05
1.75,1e-09,9.802355377006552e-08,1e-14,1.4181339008939581e-06
1.75,3e-09,2.9387054068581227e-07,3e-14,2.4648884270343505e-06
1.75,1e-08,9.80988436144196e-07,1e-13,4.486255061473873e-06
1.75,3e-08,2.9409625651040253e-06,3e-13,7.797654491427397e-06
1.75,1e-07,9.81741912873306e-06,1e-12,1.4192231399244261e-05
1.75,3e-07,2.943221457026034e-05,3e-12,2.4667816563540796e-05
1.75,1e-06,9.82495968332155e-05,1e-11,4.48970086028773e-05
