alpha,delta,bias_I,bias_II
1.25,1e-09,8.359563915242073e-09,6.649653114081701e-09
1.25,1.6297508346206469e-09,1.2057979239188968e-08,9.591574394068138e-09
1.25,2.656087782946684e-09,1.7392637321595953e-08,1.3835052413163568e-08
1.25,4.328761281083061e-09,2.5087440195403155e-08,1.995591833315709e-08
1.25,7.054802310718631e-09,3.618655664785534e-08,2.8784760960258024e-08
1.25,1.1497569953977357e-08,5.2196113764058036e-08,4.1519635926052515e-08
1.25,1.873817422860383e-08,7.528857526130784e-08,5.988863935920688e-08
1.25,3.053855508833412e-08,1.0859754034154948e-07,8.638440696481576e-08
1.25,4.977023564332114e-08,1.5664296668158366e-07,1.2460235956638036e-07
1.25,8.111308307896873e-08,2.259445195022063e-07,1.797285943675168e-07
1.25,1.3219411484660288e-07,3.2590627706233075e-07,2.5924362785688205e-07
1.25,2.1544346900318867e-07,4.7009284563095346e-07,3.739374870239265e-07
1.25,3.5111917342151277e-07,6.780700509211595e-07,5.393738951644972e-07
1.25,5.722367659350221e-07,9.780599859471567e-07,7.780022404451427e-07
1.25,9.326033468832199e-07,1.410770704380837e-06,1.1222039197836151e-06
1.25,1.519911082952933e-06,2.0349202516448403e-06,1.6186864471856206e-06
1.25,2.477076355991714e-06,2.935204658677798e-06,2.3348216134299806e-06
1.25,4.037017258596549e-06,4.233791198254853e-06,3.3677878086795233e-06
1.25,6.579332246575683e-06,6.106896655156288e-06,4.857757187937981e-06
1.25,1.072267222010323e-05,8.808700576770844e-06,7.006917351836127e-06
1.25,1.747528400007683e-05,1.2705839257747992e-05,1.0106909219059328e-05
1.25,2.8480358684358048e-05,1.8327163043037614e-05,1.4578405466270327e-05
1.25,4.641588833612782e-05,2.6435513195812818e-05,2.1028202865566555e-05
1.25,7.56463327554629e-05,3.813126837287915e-05,3.033158198535222e-05
1.25,0.0001232846739442066,5.500173542487971e-05,4.375112476235063e-05
1.25,0.0002009233002565046,7.933671220540399e-05,6.310814725800941e-05
1.25,0.00032745491628777317,0.00011443960469079683,9.103009063866278e-05
1.25,0.0005336699231206312,0.0001650766241165084,0.0001313076288687854
1.25,0.0008697490026177834,0.00023812574309572867,0.00018941039412546872
1.25,0.0014174741629268048,0.0003435151757574109,0.00027323234311216584
1.25,0.0023101297000831626,0.0004955827406793293,0.000394170357183973
1.25,0.0037649358067924714,0.000715050014642805,0.0005686882057850903
1.25,0.006135907273413176,0.0010319014505768183,0.0008205916936099291
1.25,0.01,0.0014896118480018485,0.0011843558337075414
1.5,1e-09,3.250406750994079e-06,2.925366075803753e-06
1.5,1.6297508346206469e-09,4.14952435004164e-06,3.7345719148486137e-06
1.5,2.656087782946684e-09,5.297353116605105e-06,4.767617804552034e-06
1.5,4.328761281083061e-09,6.762690775496933e-06,6.086421697130974e-06
1.5,7.054802310718631e-09,8.633365668763795e-06,7.770029100189745e-06
1.5,1.1497569953977357e-08,1.1021500947499108e-05,9.919350849217869e-06
1.5,1.873817422860383e-08,1.4070234928911185e-05,1.2663211428673911e-05
1.5,3.053855508833412e-08,1.7962300419261864e-05,1.6166070362052797e-05
1.5,4.977023564332114e-08,2.293097722544089e-05,2.063787947110138e-05
1.5,8.111308307896873e-08,2.927407432207717e-05,2.6346666823719036e-05
1.5,1.3219411484660288e-07,3.737177973387832e-05,3.363460162286276e-05
1.5,2.1544346900318867e-07,4.770944802047638e-05,4.293850293208837e-05
1.5,3.5111917342151277e-07,6.0906691212647275e-05,5.4816021495636426e-05
1.5,5.722367659350221e-07,7.77545168920055e-05,6.997906396332039e-05
1.5,9.326033468832199e-07,9.926273949575181e-05,8.933646296735208e-05
1.5,1.519911082952933e-06,0.00012672050681374031,0.00011404845076695561
1.5,2.477076355991714e-06,0.00016177357001818352,0.00014559620185327363
1.5,4.037017258596549e-06,0.00020652292971931106,0.00018587061352181574
1.5,6.579332246575683e-06,0.0002636507729912909,0.00023728564736978086
1.5,1.072267222010323e-05,0.000336581254618793,0.00030292302861892887
1.5,1.747528400007683e-05,0.0004296857696080253,0.00038671698347037757
1.5,2.8480358684358048e-05,0.0005485450417723036,0.0004936901023865928
1.5,4.641588833612782e-05,0.0007002837816591256,0.0006302544980067114
1.5,7.56463327554629e-05,0.0008939980646682175,0.0008045963742566419
1.5,0.0001232846739442066,0.0011413012374314672,0.0010271671939468768
1.5,0.0002009233002565046,0.001457021472524505,0.0013113111697521532
1.5,0.00032745491628777317,0.0018600936133262923,0.0016740672831015403
1.5,0.0005336699231206312,0.0023747004961124927,0.0021371951389135466
1.5,0.0008697490026177834,0.00303173576374345,0.0027284887185242204
1.5,0.0014174741629268048,0.0038706833599227775,0.0034834621364345578
1.5,0.0023101297000831626,0.004942042012253286,0.004447519614465407
1.5,0.0037649358067924714,0.006310472688448145,0.005678763037973928
1.5,0.006135907273413176,0.00805892595896536,0.0072516540379175915
1.5,0.01,0.010294139794171863,0.009261851975315026
1.75,1e-09,0.0009192026307239212,0.0008936692242988459
1.75,1.6297508346206469e-09,0.0010385838419799361,0.0010097342907866937
1.75,2.656087782946684e-09,0.0011734696581622624,0.0011408732787216963
1.75,4.328761281083061e-09,0.0013258737359869589,0.0012890439099036176
1.75,7.054802310718631e-09,0.0014980712553636785,0.001456458164786343
1.75,1.1497569953977357e-08,0.0016926328846821983,0.0016456153042789109
1.75,1.873817422860383e-08,0.0019124631573549827,0.0018593391802632178
1.75,3.053855508833412e-08,0.0021608438325459427,0.002100820391840068
1.75,4.977023564332114e-08,0.0024414828874409033,0.0023736639166700474
1.75,8.111308307896873e-08,0.0027585698725204333,0.00268194292853878
1.75,1.3219411484660288e-07,0.003116838456349169,0.0030302596046784484
1.75,2.1544346900318867e-07,0.0035216370938406264,0.003423813830818038
