delta,A_alpha,B_alpha,C_alpha
1e-08,39998.0,2666666666666.0,26664.666666666668
1.0907766915109565e-08,38297.40850598307,2340803502925.3257,25530.93900398871
1.1897937907435858e-08,36669.117297704244,2054760389740.8132,24445.41153180283
1.2977993346475677e-08,35110.05254388992,1803671369241.9958,23406.035029259947
1.4156092644919915e-08,33617.271096549586,1583265097218.2927,22410.847397699723
1.544113589994833e-08,32187.954935003552,1389792182110.809,21457.969956669036
1.6842831130116658e-08,30819.405846122198,1219961403083.9749,20545.6038974148
1.8371767615786394e-08,29509.04033073322,1070883722164.9723,19672.02688715548
2.0039495897155573e-08,28254.38472658236,940023138026.2435,18835.589817721575
2.185861503424674e-08,27053.070538639964,825153545371.1615,18034.71369242664
2.3842867788067263e-08,25902.82996793901,724320866046.152,17267.886645292674
2.6007244442001165e-08,24801.491630503213,635809807681.1263,16533.661087002143
2.8368096047762683e-08,23746.97645828439,558114684380.426,15830.650972189593
3.0943257951443615e-08,22737.29377437022,489913803086.96954,15157.52918291348
3.37521845328457e-08,21770.53753505409,430046979899.08466,14513.025023369393
3.6816096176004706e-08,20844.882731672154,377495803863.864,13895.921821114769
4.0158139581211505e-08,19958.581945415925,331366312509.0681,13305.054630277284
4.380356262962907e-08,19109.962048615867,290873784402.25446,12739.308032410578
4.777990512153967e-08,18297.421046269625,255329390039.22073,12197.614030846416
5.211720682918044e-08,17519.42505185161,224128473976.33035,11678.950034567739
5.684823443592555e-08,16774.505391695777,196740268870.88834,11182.336927797185
6.200872907625809e-08,16061.255832484601,172698866452.25992,10706.8372216564
6.763767634659992e-08,15378.329926611088,151595291828.4683,10251.553284407391
7.377760082683312e-08,14724.438470401867,133070546302.10602,9815.625646934577
8.047488733750888e-08,14098.347070403654,116809500345.01085,9398.231380269102
8.77801313597249e-08,13498.873813138278,102535532843.40715,8998.582542092185
9.574852126495768e-08,12924.88703392782,90005825420.25526,8615.924689285213
1.0444025524245699e-07,12375.303180577435,79007231785.22311,8249.53545371829
1.1392099607392682e-07,11849.08476788348,69352651844.66978,7898.723178588986
1.2426236719115055e-07,11345.238419105073,60877848890.622215,7562.825612736716
1.3554249376408253e-07,10862.81299070228,53438655725.0816,7241.208660468186
1.478465929071304e-07,10400.897776800455,46908522192.2662,6933.265184533637
1.6126761746240661e-07,9958.620789991603,41176362399.19554,6638.413859994402
1.7590695822349843e-07,9535.147115226906,36144665003.08868,6356.098076817937
1.9187520990478324e-07,9129.67733369334,31727834419.162323,6085.784889128893
2.0929300664290975e-07,8741.446013698687,27850734730.65517,5826.964009132458
2.2829193334233327e-07,8369.72026571639,24447411531.136185,5579.146843810927
2.4901551974979006e-07,8013.798358862229,21459969956.00237,5341.865572574819
2.716203247675567e-07,7673.008396191338,18837589817.054928,5114.672264127558
2.9627711919708697e-07,7346.70704631455,16535661086.335478,4897.138030876366
3.2317217584819513e-07,7034.278328939937,14515025022.702744,4688.8522192932915
3.5250867676009135e-07,6735.132452046663,12741308031.743912,4489.4216346977755
3.845082481652768e-07,6448.704698496271,11184336927.13053,4298.469798997514
4.1941263479239445e-07,6174.454359979325,9817625646.26791,4115.636239986216
4.574855261567401e-07,5911.8637162852165,8617924688.618555,3940.575810856811
4.990145486353981e-07,5660.437057967966,7564825612.070048,3772.958038645311
5.443134383763516e-07,5419.699750563307,6640413859.327744,3612.466500375538
5.937244114571098e-07,5189.197338590266,5828964008.465791,3458.7982257268436
6.476207491984746e-07,4968.494687646023,5116672263.460897,3311.6631250973483
7.06409618164559e-07,4757.175162974343,4491421634.03111,3170.7834419828955
7.705351461530558e-07,4554.8398429570725,3942575810.1901355,3035.893228638048
8.404817774137397e-07,4361.106766043821,3460798225.060177,2906.737844029214
9.167779324426052e-07,4175.6102096982795,3037893227.9713883,2783.0734731321863
1e-06,3998.0,2666666666.0000005,2664.6666666666665
1.0907766915109564e-06,3827.940850598307,2340803502.259326,2551.2939003988713
1.1897937907435858e-06,3665.1117297704245,2054760389.074813,2442.741153180283
1.297799334647565e-06,3509.205254388996,1803671368.5760014,2338.8035029259972
1.4156092644919914e-06,3359.9271096549587,1583265096.5522928,2239.2847397699725
1.544113589994833e-06,3216.9954935003548,1389792181.444809,2143.9969956669033
1.684283113011666e-06,3080.1405846122198,1219961402.417975,2052.7603897414797
1.8371767615786356e-06,2949.104033073325,1070883721.4989756,1965.4026887155499
2.003949589715557e-06,2823.6384726582364,940023137.3602437,1881.7589817721575
2.1858615034246743e-06,2703.507053863996,825153544.7051615,1801.671369242664
2.3842867788067263e-06,2588.4829967939013,724320865.3801519,1724.9886645292675
2.600724444200111e-06,2478.3491630503236,635809807.0151283,1651.5661087002156
2.836809604776268e-06,2372.8976458284387,558114683.714426,1581.2650972189592
3.0943257951443618e-06,2271.929377437022,489913802.4209695,1513.9529182913482
3.3752184532845694e-06,2175.253753505409,430046979.23308474,1449.5025023369392
3.681609617600463e-06,2082.6882731672176,377495803.1978652,1387.7921821114785
4.01581395812115e-06,1994.0581945415925,331366311.8430682,1328.7054630277282
4.380356262962907e-06,1909.196204861587,290873783.7362545,1272.130803241058
4.777990512153967e-06,1827.9421046269622,255329389.3732207,1217.9614030846415
5.211720682918034e-06,1750.1425051851627,224128473.31033102,1166.0950034567752
5.684823443592555e-06,1675.6505391695775,196740268.2048883,1116.4336927797183
6.200872907625809e-06,1604.3255832484601,172698865.7862599,1068.8837221656402
6.763767634659991e-06,1536.032992661109,151595291.16246828,1023.3553284407392
7.377760082683297e-06,1470.6438470401881,133070545.63610643,979.7625646934588
8.047488733750887e-06,1408.0347070403654,116809499.67901085,938.0231380269103
8.77801313597249e-06,1348.0873813138278,102535532.17740713,898.0582542092185
9.574852126495767e-06,1290.688703392782,90005824.75425528,859.7924689285213
1.0444025524245678e-05,1235.7303180577446,79007231.11922336,823.1535453718298
1.1392099607392682e-05,1183.1084767883478,69352651.17866977,788.0723178588986
1.2426236719115056e-05,1132.7238419105072,60877848.2246222,754.4825612736714
1.3554249376408254e-05,1084.4812990702278,53438655.059081584,722.3208660468185
1.4784659290713009e-05,1038.2897776800467,46908521.526266344,691.5265184533645
1.612676174624066e-05,994.0620789991603,41176361.73319554,662.0413859994402
1.7590695822349842e-05,951.7147115226905,36144664.33708868,633.8098076817937
1.9187520990478323e-05,911.1677333693341,31727833.753162324,606.7784889128894
2.092930066429093e-05,872.3446013698697,27850734.06465526,580.8964009132465
2.2829193334233325e-05,835.1720265716391,24447410.86513619,556.1146843810927
2.4901551974979007e-05,799.5798358862229,21459969.29000237,532.386557257482
2.716203247675567e-05,765.5008396191338,18837589.15105493,509.66722641275584
2.962771191970864e-05,732.8707046314557,16535660.420335524,487.9138030876372
3.2317217584819515e-05,701.6278328939936,14515024.35670274,467.08522192932907
3.5250867676009136e-05,671.7132452046664,12741307.36574391,447.1421634697776
3.845082481652768e-05,643.0704698496271,11184336.26113053,428.0469798997514
4.194126347923944e-05,615.6454359979326,9817624.980267912,409.76362399862177
4.574855261567401e-05,589.3863716285216,8617924.022618556,392.25758108568107
4.990145486353981e-05,564.2437057967966,7564824.946070049,375.49580386453107
5.443134383763528e-05,540.1699750563301,6640413.193327721,359.4466500375534
5.937244114571097e-05,517.1197338590265,5828963.342465792,344.07982257268435
6.476207491984747e-05,495.0494687646022,5116671.597460897,329.36631250973477
7.064096181645591e-05,473.9175162974343,4491420.968031108,315.2783441982895
7.705351461530558e-05,453.68398429570726,3942575.144190136,301.78932286380484
8.404817774137397e-05,434.31067660438214,3460797.559060177,288.87378440292144
