delta,bias_I,bias_II
1e-07,3.250406799261788e-05,2.9253661102809096e-05
1.5317404637020798e-07,4.022817343637935e-05,3.6205355921088185e-05
2.3462288481422625e-07,4.978779718460301e-05,4.480901714073347e-05
3.5938136638046254e-07,6.161912293927452e-05,5.545721002845728e-05
5.504789807854968e-07,7.626198715942128e-05,6.863578727401524e-05
8.431909292866251e-07,9.438451079354033e-05,8.494605749719864e-05
1.2915496650148827e-06,0.00011681358455948484,0.00010513222190071358
1.978318882784162e-06,0.00014457259894545824,0.00013011533108346664
3.030271082866393e-06,0.0001789281408457986,0.0001610353116570429
4.641588833612773e-06,0.000221447788213681,0.00019930298075877356
7.109709432312424e-06,0.00027407164113743386,0.00024666442274202754
1.0890229622637283e-05,0.00033920085573640893,0.0003052806672589665
1.6681005372000593e-05,0.000419807225399888,0.0003778263077813039
2.555097090352507e-05,0.0005195688186479756,0.0004676115669640876
3.913745601980384e-05,0.0006430378801649636,0.0005787333910663314
5.994842503189409e-05,0.0007958486895146187,0.0007162624914855057
9.182542835656282e-05,0.0009849749253028634,0.0008864749131629239
0.00014065272421052364,0.0012190483984038311,0.0010971387819657407
0.00021544346900318823,0.0015087539261369471,0.001357869478105049
0.0003300034791125282,0.0018673187985037488,0.0016805697512564898
0.0005054796821191235,0.002311119992616484,0.0020799754464226024
0.000774263682681127,0.0028604384021108827,0.0025743328554600087
0.0011859710123376683,0.003540397457331963,0.003186240714901102
0.0018165997883753248,0.004382134586730376,0.003943699282119386
0.0027825594022071257,0.005424269654548599,0.004881421979318255
0.0042621588290153245,0.006714757698832353,0.006042483942885264
0.006528521141127847,0.008313249231867922,0.007480410283616348
0.01,0.010294139794169299,0.009261851975319717
